"","season","Id","Team_Bat","Team_Bowl","Batting_Run_Rate","Batting_Average","Batting_Wicket_Rate","Batting_Index","Bowling_Economy_Rate","Bowling_Average","Bowling_Strike_Rate","Bowling_Index"
"324","2011","244","PW","KTK",0.204607046070461,1.22764227642276,0.0487804878048781,9.26869918699187,16.7777777777778,1.22764227642276,0.0487804878048781,20.5971093044264
"325","2011","245","DC","RCB",0.233333333333333,1.4,0.04,12.25,19.4444444444444,1.4,0.04,27.2222222222222
"326","2011","245","RCB","DC",0.189333333333333,1.136,0.072,8.0656,15.7777777777778,1.136,0.072,17.9235555555556
"327","2011","246","KKR","RR",0.233918128654971,1.40350877192982,0.0087719298245614,11.8190212373038,17.7777777777778,1.40350877192982,0.0087719298245614,24.9512670565302
"328","2011","246","RR","KKR",0.20703125,1.2421875,0.03125,9.40513392857143,17.6666666666667,1.2421875,0.03125,21.9453125
"329","2011","247","KTK","MI",0.253443526170799,1.52066115702479,0.0165289256198347,13.9900826446281,20.4444444444444,1.52066115702479,0.0165289256198347,31.089072543618
"330","2011","247","MI","KTK",0.240740740740741,1.44444444444444,0.0158730158730159,12.5185185185185,20.2222222222222,1.44444444444444,0.0158730158730159,29.2098765432099
"331","2011","248","CSK","RCB",0.252066115702479,1.51239669421488,0.0413223140495868,13.8384297520661,20.3333333333333,1.51239669421488,0.0413223140495868,30.7520661157025
"332","2011","248","RCB","CSK",0.216,1.296,0.056,10.4976,18,1.296,0.056,23.328
"333","2011","249","DC","KXIP",0.225409836065574,1.35245901639344,0.0655737704918033,11.1577868852459,18.3333333333333,1.35245901639344,0.0655737704918033,24.7950819672131
"334","2011","249","KXIP","DC",0.244837758112094,1.46902654867257,0.0176991150442478,13.5476892822026,18.4444444444444,1.46902654867257,0.0176991150442478,27.0953785644051
"335","2017","25","RPS","SRH",0.246556473829201,1.47933884297521,0.0330578512396694,13.2400826446281,19.8888888888889,1.47933884297521,0.0330578512396694,29.4224058769513
"336","2017","25","SRH","RPS",0.236559139784946,1.41935483870968,0.0241935483870968,12.4903225806452,19.5555555555556,1.41935483870968,0.0241935483870968,27.7562724014337
"337","2011","250","DD","PW",0.261707988980716,1.5702479338843,0.0578512396694215,14.9173553719008,21.1111111111111,1.5702479338843,0.0578512396694215,33.1496786042241
"338","2011","250","PW","DD",0.247354497354497,1.48412698412698,0.0396825396825397,13.2157974300831,20.7777777777778,1.48412698412698,0.0396825396825397,30.836860670194
"339","2011","251","KKR","RR",0.159176029962547,0.955056179775281,0.0224719101123595,5.79855537720706,9.44444444444444,0.955056179775281,0.0224719101123595,9.01997503121099
"340","2011","251","RR","KKR",0.140625,0.84375,0.104166666666667,4.271484375,9,0.84375,0.104166666666667,7.59375
"341","2011","252","CSK","KTK",0.209935897435897,1.25961538461538,0.0384615384615385,9.7064479638009,14.5555555555556,1.25961538461538,0.0384615384615385,18.3344017094017
"342","2011","252","KTK","CSK",0.244565217391304,1.46739130434783,0.0326086956521739,13.2065217391304,15,1.46739130434783,0.0326086956521739,22.0108695652174
"343","2011","253","DC","DD",0.229508196721311,1.37704918032787,0.0327868852459016,11.5672131147541,18.6666666666667,1.37704918032787,0.0327868852459016,25.7049180327869
"344","2011","253","DD","DC",0.207650273224044,1.24590163934426,0.0573770491803279,9.46885245901639,16.8888888888889,1.24590163934426,0.0573770491803279,21.0418943533698
"345","2011","254","MI","PW",0.170798898071625,1.02479338842975,0.0247933884297521,6.35371900826446,13.7777777777778,1.02479338842975,0.0247933884297521,14.119375573921
